[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-30, -18, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-30, -27, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3024, -315, -20]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3024, -594, -77]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-306, -34, -33]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-306, -66, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3069, -310, -30]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3069, -330, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-310, -279, -30]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-315, -240, -4]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-315, -25, -9]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-32130, -6545, -594]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-322, -252, -69]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-324, -117, -26]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-324, -20, -15]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-324, -27, -8]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-324, -30, -5]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-324, -44, -27]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-325, -234, -90]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3258, -181, -180]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-32661, -3438, -190]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3268, -3096, -171]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-32769, -3310, -330]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3294, -305, -60]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-33, -9, -1]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-330, -99, -10]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3312, -207, -160]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-333, -108, -2]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3339, -265, -105]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3348, -216, -155]]
[[1, 0, 0], [0, 1, 0], [0, 0, 1], [-3366, -220, -153]]
